Epoch: [0][660/1345], lr: 0.00100	Time 1.598 (1.543)	Data 1.378 (1.286)	Loss 4.8563 (4.9372)	Prec@1 6.250 (2.945)	Prec@5 14.062 (10.056)
Epoch: [0][680/1345], lr: 0.00100	Time 1.768 (1.542)	Data 1.541 (1.286)	Loss 4.6998 (4.9302)	Prec@1 1.562 (3.006)	Prec@5 17.188 (10.238)
Epoch: [0][700/1345], lr: 0.00100	Time 1.305 (1.540)	Data 1.087 (1.285)	Loss 4.7505 (4.9234)	Prec@1 1.562 (3.047)	Prec@5 10.938 (10.411)
Epoch: [0][720/1345], lr: 0.00100	Time 1.371 (1.538)	Data 1.157 (1.284)	Loss 4.7195 (4.9172)	Prec@1 4.688 (3.077)	Prec@5 14.062 (10.576)
Epoch: [0][740/1345], lr: 0.00100	Time 1.388 (1.536)	Data 1.171 (1.284)	Loss 4.6332 (4.9108)	Prec@1 3.125 (3.117)	Prec@5 17.188 (10.727)
Epoch: [0][760/1345], lr: 0.00100	Time 1.529 (1.535)	Data 1.299 (1.283)	Loss 4.9807 (4.9037)	Prec@1 3.125 (3.172)	Prec@5 9.375 (10.950)
Epoch: [0][780/1345], lr: 0.00100	Time 1.672 (1.534)	Data 1.379 (1.283)	Loss 4.7534 (4.8977)	Prec@1 1.562 (3.229)	Prec@5 18.750 (11.132)
Epoch: [0][800/1345], lr: 0.00100	Time 1.225 (1.531)	Data 1.002 (1.281)	Loss 4.7055 (4.8893)	Prec@1 6.250 (3.304)	Prec@5 18.750 (11.357)
Epoch: [0][820/1345], lr: 0.00100	Time 1.525 (1.529)	Data 1.314 (1.280)	Loss 4.4153 (4.8835)	Prec@1 9.375 (3.369)	Prec@5 23.438 (11.535)
Epoch: [0][840/1345], lr: 0.00100	Time 1.713 (1.528)	Data 1.492 (1.279)	Loss 4.6157 (4.8786)	Prec@1 4.688 (3.406)	Prec@5 18.750 (11.668)
Epoch: [0][860/1345], lr: 0.00100	Time 1.650 (1.527)	Data 1.416 (1.279)	Loss 4.5669 (4.8719)	Prec@1 4.688 (3.472)	Prec@5 15.625 (11.834)
Epoch: [0][880/1345], lr: 0.00100	Time 1.301 (1.525)	Data 1.094 (1.278)	Loss 4.7493 (4.8655)	Prec@1 1.562 (3.535)	Prec@5 12.500 (12.010)
Epoch: [0][900/1345], lr: 0.00100	Time 1.248 (1.524)	Data 1.037 (1.278)	Loss 4.6053 (4.8598)	Prec@1 6.250 (3.619)	Prec@5 20.312 (12.198)
Epoch: [0][920/1345], lr: 0.00100	Time 1.685 (1.523)	Data 1.481 (1.277)	Loss 4.3743 (4.8539)	Prec@1 7.812 (3.683)	Prec@5 28.125 (12.357)
Epoch: [0][940/1345], lr: 0.00100	Time 1.802 (1.521)	Data 1.571 (1.276)	Loss 4.5034 (4.8464)	Prec@1 6.250 (3.766)	Prec@5 25.000 (12.546)
Epoch: [0][960/1345], lr: 0.00100	Time 1.233 (1.520)	Data 1.008 (1.275)	Loss 4.5876 (4.8409)	Prec@1 4.688 (3.811)	Prec@5 21.875 (12.721)
Epoch: [0][980/1345], lr: 0.00100	Time 1.237 (1.519)	Data 1.022 (1.275)	Loss 4.2662 (4.8348)	Prec@1 10.938 (3.872)	Prec@5 28.125 (12.885)
Epoch: [0][1000/1345], lr: 0.00100	Time 1.448 (1.519)	Data 1.245 (1.275)	Loss 4.4760 (4.8296)	Prec@1 4.688 (3.921)	Prec@5 23.438 (13.046)
Epoch: [0][1020/1345], lr: 0.00100	Time 1.561 (1.518)	Data 1.332 (1.275)	Loss 4.7635 (4.8242)	Prec@1 6.250 (3.971)	Prec@5 17.188 (13.167)
Epoch: [0][1040/1345], lr: 0.00100	Time 1.784 (1.518)	Data 1.574 (1.275)	Loss 4.2798 (4.8185)	Prec@1 4.688 (4.036)	Prec@5 23.438 (13.317)
Epoch: [0][1060/1345], lr: 0.00100	Time 1.526 (1.517)	Data 1.312 (1.274)	Loss 4.4307 (4.8117)	Prec@1 6.250 (4.113)	Prec@5 17.188 (13.509)
Epoch: [0][1080/1345], lr: 0.00100	Time 1.221 (1.516)	Data 1.014 (1.274)	Loss 4.4695 (4.8060)	Prec@1 7.812 (4.166)	Prec@5 20.312 (13.659)
Epoch: [0][1100/1345], lr: 0.00100	Time 1.215 (1.516)	Data 0.996 (1.274)	Loss 4.4909 (4.8004)	Prec@1 6.250 (4.229)	Prec@5 20.312 (13.821)
Epoch: [0][1120/1345], lr: 0.00100	Time 1.435 (1.515)	Data 1.215 (1.274)	Loss 4.5482 (4.7951)	Prec@1 1.562 (4.265)	Prec@5 21.875 (13.959)
Epoch: [0][1140/1345], lr: 0.00100	Time 1.716 (1.514)	Data 1.501 (1.273)	Loss 4.6035 (4.7909)	Prec@1 7.812 (4.315)	Prec@5 15.625 (14.064)
Epoch: [0][1160/1345], lr: 0.00100	Time 1.240 (1.512)	Data 1.021 (1.272)	Loss 4.2761 (4.7846)	Prec@1 14.062 (4.378)	Prec@5 26.562 (14.227)
Epoch: [0][1180/1345], lr: 0.00100	Time 1.519 (1.512)	Data 1.301 (1.273)	Loss 4.3437 (4.7793)	Prec@1 10.938 (4.431)	Prec@5 29.688 (14.354)
Epoch: [0][1200/1345], lr: 0.00100	Time 1.157 (1.511)	Data 0.942 (1.272)	Loss 4.2836 (4.7739)	Prec@1 9.375 (4.508)	Prec@5 25.000 (14.485)
Epoch: [0][1220/1345], lr: 0.00100	Time 1.661 (1.511)	Data 1.443 (1.272)	Loss 4.5408 (4.7687)	Prec@1 6.250 (4.572)	Prec@5 12.500 (14.618)
Epoch: [0][1240/1345], lr: 0.00100	Time 1.554 (1.510)	Data 1.331 (1.272)	Loss 4.5386 (4.7639)	Prec@1 1.562 (4.596)	Prec@5 20.312 (14.756)
Epoch: [0][1260/1345], lr: 0.00100	Time 1.821 (1.510)	Data 1.589 (1.272)	Loss 4.4227 (4.7590)	Prec@1 12.500 (4.663)	Prec@5 28.125 (14.919)
Epoch: [0][1280/1345], lr: 0.00100	Time 1.777 (1.509)	Data 1.554 (1.272)	Loss 4.6134 (4.7532)	Prec@1 6.250 (4.716)	Prec@5 18.750 (15.086)
Epoch: [0][1300/1345], lr: 0.00100	Time 1.251 (1.508)	Data 1.030 (1.271)	Loss 4.2194 (4.7478)	Prec@1 17.188 (4.769)	Prec@5 32.812 (15.242)
Epoch: [0][1320/1345], lr: 0.00100	Time 1.350 (1.507)	Data 1.139 (1.270)	Loss 4.5540 (4.7424)	Prec@1 3.125 (4.832)	Prec@5 20.312 (15.411)
Epoch: [0][1340/1345], lr: 0.00100	Time 1.373 (1.507)	Data 1.155 (1.270)	Loss 4.4392 (4.7368)	Prec@1 10.938 (4.894)	Prec@5 18.750 (15.563)
Test: [0/181]	Time 1.727 (1.727)	Loss 4.3639 (4.3639)	Prec@1 10.938 (10.938)	Prec@5 29.688 (29.688)
Test: [20/181]	Time 0.812 (0.676)	Loss 4.3108 (4.3865)	Prec@1 6.250 (9.077)	Prec@5 28.125 (25.744)
Test: [40/181]	Time 0.621 (0.657)	Loss 4.2031 (4.3990)	Prec@1 7.812 (8.384)	Prec@5 26.562 (25.152)
Test: [60/181]	Time 0.722 (0.649)	Loss 4.6513 (4.4411)	Prec@1 9.375 (8.043)	Prec@5 21.875 (24.052)
Test: [80/181]	Time 0.649 (0.640)	Loss 4.2123 (4.4484)	Prec@1 9.375 (8.044)	Prec@5 32.812 (23.688)
Test: [100/181]	Time 0.612 (0.640)	Loss 4.9224 (4.4557)	Prec@1 6.250 (7.828)	Prec@5 17.188 (23.391)
Test: [120/181]	Time 0.820 (0.644)	Loss 4.4151 (4.4509)	Prec@1 7.812 (7.735)	Prec@5 17.188 (23.476)
Test: [140/181]	Time 0.798 (0.640)	Loss 4.6355 (4.4493)	Prec@1 7.812 (7.868)	Prec@5 23.438 (23.360)
Test: [160/181]	Time 0.543 (0.643)	Loss 4.5173 (4.4428)	Prec@1 9.375 (7.890)	Prec@5 17.188 (23.418)
Test: [180/181]	Time 0.209 (0.637)	Loss 4.7776 (4.4439)	Prec@1 0.000 (8.011)	Prec@5 0.000 (23.581)
Testing Results: Prec@1 8.011 Prec@5 23.581 Loss 4.44386 
Best Prec@1: 0.000
Epoch: [1][0/1345], lr: 0.00100	Time 1.943 (1.943)	Data 1.654 (1.654)	Loss 4.1430 (4.1430)	Prec@1 12.500 (12.500)	Prec@5 25.000 (25.000)
Epoch: [1][20/1345], lr: 0.00100	Time 1.508 (1.720)	Data 1.284 (1.486)	Loss 4.4926 (4.4211)	Prec@1 6.250 (9.301)	Prec@5 18.750 (24.182)
Epoch: [1][40/1345], lr: 0.00100	Time 1.749 (1.695)	Data 1.530 (1.466)	Loss 4.3195 (4.3943)	Prec@1 6.250 (8.803)	Prec@5 20.312 (25.152)
Epoch: [1][60/1345], lr: 0.00100	Time 1.568 (1.673)	Data 1.347 (1.446)	Loss 4.3954 (4.3801)	Prec@1 15.625 (8.863)	Prec@5 25.000 (25.512)
Epoch: [1][80/1345], lr: 0.00100	Time 2.017 (1.667)	Data 1.796 (1.441)	Loss 4.1628 (4.3634)	Prec@1 14.062 (9.491)	Prec@5 31.250 (25.849)
Epoch: [1][100/1345], lr: 0.00100	Time 1.510 (1.661)	Data 1.290 (1.437)	Loss 4.7325 (4.3705)	Prec@1 1.562 (9.329)	Prec@5 9.375 (25.758)
Epoch: [1][120/1345], lr: 0.00100	Time 1.815 (1.659)	Data 1.592 (1.435)	Loss 4.4817 (4.3592)	Prec@1 4.688 (9.349)	Prec@5 31.250 (26.020)
Epoch: [1][140/1345], lr: 0.00100	Time 1.542 (1.660)	Data 1.295 (1.435)	Loss 4.1632 (4.3637)	Prec@1 9.375 (9.508)	Prec@5 26.562 (25.920)
Epoch: [1][160/1345], lr: 0.00100	Time 1.721 (1.659)	Data 1.503 (1.435)	Loss 4.2470 (4.3663)	Prec@1 10.938 (9.375)	Prec@5 31.250 (25.970)
Epoch: [1][180/1345], lr: 0.00100	Time 1.314 (1.655)	Data 1.108 (1.431)	Loss 4.0872 (4.3642)	Prec@1 14.062 (9.366)	Prec@5 34.375 (26.183)
Epoch: [1][200/1345], lr: 0.00100	Time 1.812 (1.654)	Data 1.594 (1.430)	Loss 4.5181 (4.3602)	Prec@1 6.250 (9.453)	Prec@5 25.000 (26.228)
Epoch: [1][220/1345], lr: 0.00100	Time 1.450 (1.654)	Data 1.234 (1.430)	Loss 4.2144 (4.3547)	Prec@1 10.938 (9.552)	Prec@5 31.250 (26.379)
Epoch: [1][240/1345], lr: 0.00100	Time 1.614 (1.655)	Data 1.397 (1.432)	Loss 4.3839 (4.3563)	Prec@1 14.062 (9.576)	Prec@5 26.562 (26.381)
Epoch: [1][260/1345], lr: 0.00100	Time 1.657 (1.655)	Data 1.439 (1.432)	Loss 4.3236 (4.3559)	Prec@1 6.250 (9.531)	Prec@5 23.438 (26.341)
Epoch: [1][280/1345], lr: 0.00100	Time 1.579 (1.656)	Data 1.360 (1.433)	Loss 4.1441 (4.3525)	Prec@1 10.938 (9.497)	Prec@5 29.688 (26.335)
Epoch: [1][300/1345], lr: 0.00100	Time 2.033 (1.657)	Data 1.812 (1.433)	Loss 4.1289 (4.3533)	Prec@1 12.500 (9.531)	Prec@5 32.812 (26.324)
Epoch: [1][320/1345], lr: 0.00100	Time 1.487 (1.655)	Data 1.262 (1.432)	Loss 4.3032 (4.3511)	Prec@1 17.188 (9.599)	Prec@5 34.375 (26.407)
Epoch: [1][340/1345], lr: 0.00100	Time 1.772 (1.654)	Data 1.553 (1.430)	Loss 4.1916 (4.3467)	Prec@1 14.062 (9.531)	Prec@5 29.688 (26.498)
Epoch: [1][360/1345], lr: 0.00100	Time 1.503 (1.652)	Data 1.289 (1.429)	Loss 4.3694 (4.3460)	Prec@1 10.938 (9.518)	Prec@5 29.688 (26.485)
Epoch: [1][380/1345], lr: 0.00100	Time 1.832 (1.653)	Data 1.617 (1.430)	Loss 4.2782 (4.3423)	Prec@1 7.812 (9.531)	Prec@5 26.562 (26.624)
Epoch: [1][400/1345], lr: 0.00100	Time 1.628 (1.655)	Data 1.409 (1.432)	Loss 4.3073 (4.3410)	Prec@1 7.812 (9.558)	Prec@5 28.125 (26.683)
Epoch: [1][420/1345], lr: 0.00100	Time 1.584 (1.656)	Data 1.361 (1.433)	Loss 4.8409 (4.3403)	Prec@1 4.688 (9.553)	Prec@5 15.625 (26.707)
Epoch: [1][440/1345], lr: 0.00100	Time 1.847 (1.657)	Data 1.620 (1.434)	Loss 4.0890 (4.3350)	Prec@1 17.188 (9.641)	Prec@5 40.625 (26.899)
Epoch: [1][460/1345], lr: 0.00100	Time 1.483 (1.658)	Data 1.268 (1.435)	Loss 4.2356 (4.3330)	Prec@1 12.500 (9.721)	Prec@5 28.125 (26.956)
Epoch: [1][480/1345], lr: 0.00100	Time 1.922 (1.657)	Data 1.716 (1.434)	Loss 4.3473 (4.3291)	Prec@1 10.938 (9.794)	Prec@5 32.812 (27.037)
Epoch: [1][500/1345], lr: 0.00100	Time 1.596 (1.656)	Data 1.371 (1.433)	Loss 4.3743 (4.3251)	Prec@1 7.812 (9.833)	Prec@5 20.312 (27.155)
Epoch: [1][520/1345], lr: 0.00100	Time 2.124 (1.657)	Data 1.899 (1.434)	Loss 4.0824 (4.3214)	Prec@1 12.500 (9.864)	Prec@5 31.250 (27.183)
Epoch: [1][540/1345], lr: 0.00100	Time 1.476 (1.658)	Data 1.261 (1.435)	Loss 4.1231 (4.3173)	Prec@1 15.625 (9.930)	Prec@5 29.688 (27.290)
Epoch: [1][560/1345], lr: 0.00100	Time 1.443 (1.659)	Data 1.223 (1.437)	Loss 4.3617 (4.3156)	Prec@1 10.938 (9.946)	Prec@5 21.875 (27.342)
Epoch: [1][580/1345], lr: 0.00100	Time 1.685 (1.660)	Data 1.461 (1.438)	Loss 4.3691 (4.3142)	Prec@1 12.500 (9.948)	Prec@5 20.312 (27.332)
Epoch: [1][600/1345], lr: 0.00100	Time 1.627 (1.661)	Data 1.409 (1.438)	Loss 4.1911 (4.3115)	Prec@1 12.500 (9.983)	Prec@5 32.812 (27.392)
Epoch: [1][620/1345], lr: 0.00100	Time 1.502 (1.660)	Data 1.289 (1.438)	Loss 4.0225 (4.3075)	Prec@1 14.062 (10.042)	Prec@5 35.938 (27.476)
